scenario,policy,seed_index,seed,stations,mcs,payload_bytes,load_skew,offered_mbps,received_packets,decision_count,learned_fallbacks,throughput_mbps,delay_mean_ms,delay_p95_ms,delay_p99_ms,fairness,decision_mean_us,decision_p95_us,decision_p99_us,decision_max_us,decision_deadline_miss_rate,inference_mean_us,inference_p95_us,inference_p99_us,inference_max_us,delivery_ratio
unseen_active_4,oracle_delay,3,920003,4,8,1000,0.3,88.8,11101,1077,0,88.808,7.248282,11.139249,11.625785,0.933817,597.163553,823.044,1008.576,1064.515,0.011142,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_delay,4,920004,4,8,1000,0.3,88.8,11103,1090,0,88.824,7.024352,10.789767,11.243059,0.932506,587.053965,650.582,723.321,1779.923,0.001835,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_delay,5,920005,4,8,1000,0.3,88.8,11101,1100,0,88.808,7.144573,10.980029,11.426985,0.930258,579.929435,639.899,744.86,1779.527,0.000909,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_delay,6,920006,4,8,1000,0.3,88.8,11099,1085,0,88.792,7.142896,10.977679,11.403285,0.933263,592.870627,668.828,880.649,1078.215,0.000922,0.0,0.0,0.0,0.0,0.9999099099099099
unseen_active_4,oracle_delay,7,920007,4,8,1000,0.3,88.8,11101,1084,0,88.808,7.168974,11.011787,11.454286,0.931795,624.843655,671.646,922.439,1256.776,0.00738,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_delay,8,920008,4,8,1000,0.3,88.8,11096,1087,0,88.768,7.234907,11.106279,11.568475,0.930624,567.314915,620.525,662.704,1034.952,0.00184,0.0,0.0,0.0,0.0,0.9996396396396396
unseen_active_4,oracle_delay,9,920009,4,8,1000,0.3,88.8,11101,1085,0,88.808,7.100307,10.903191,11.378285,0.932611,572.674721,625.175,706.523,1008.241,0.000922,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_throughput,0,920000,4,8,1000,0.3,88.8,11096,1039,0,88.768,7.238974,14.141999,16.362135,0.932308,571.854009,628.617,658.594,777.025,0.0,0.0,0.0,0.0,0.0,0.9996396396396396
unseen_active_4,oracle_throughput,1,920001,4,8,1000,0.3,88.8,11097,1044,0,88.776,7.316068,14.189479,16.417055,0.932836,584.276013,656.589,959.695,1064.762,0.004789,0.0,0.0,0.0,0.0,0.9997297297297297
unseen_active_4,oracle_throughput,2,920002,4,8,1000,0.3,88.8,11098,1049,0,88.784,7.370325,14.449545,16.737419,0.931787,589.104342,638.998,1041.666,1136.756,0.018112,0.0,0.0,0.0,0.0,0.9998198198198199
unseen_active_4,oracle_throughput,3,920003,4,8,1000,0.3,88.8,11102,1003,0,88.816,7.672516,14.146275,16.805825,0.931894,589.423303,648.146,940.049,1087.558,0.003988,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_throughput,4,920004,4,8,1000,0.3,88.8,11110,1011,0,88.88,7.432115,13.613645,16.222047,0.931522,580.074996,635.763,854.153,1055.153,0.001978,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_throughput,5,920005,4,8,1000,0.3,88.8,11100,1064,0,88.8,7.393176,14.311629,16.634975,0.930566,597.546808,944.674,1002.517,1063.845,0.013158,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_throughput,6,920006,4,8,1000,0.3,88.8,11101,1050,0,88.808,7.285103,14.070249,16.396609,0.934278,640.06348,692.377,1062.563,1231.42,0.01619,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_throughput,7,920007,4,8,1000,0.3,88.8,11095,1061,0,88.76,7.25339,14.177759,16.424307,0.933116,604.295888,949.421,1010.172,1056.878,0.01508,0.0,0.0,0.0,0.0,0.9995495495495497
unseen_active_4,oracle_throughput,8,920008,4,8,1000,0.3,88.8,11092,1016,0,88.736,7.708804,13.804981,16.688947,0.933118,567.804257,627.937,845.771,1054.146,0.001969,0.0,0.0,0.0,0.0,0.9992792792792794
unseen_active_4,oracle_throughput,9,920009,4,8,1000,0.3,88.8,11102,1076,0,88.816,7.208057,14.294017,16.369319,0.931527,571.855095,623.64,677.632,948.941,0.0,0.0,0.0,0.0,0.0,1.0
